,,,,,,(mg NH3-N/m2/min),,%/h,(mg/m2),Fraction of applied TAN,%
79,2,7/3/25 10:00,Acid treatment,acid treatment,7/3/25,2.329159166,0.000383814,0.038381435,161.5165119,0.026615766,2.66157657
79,3,7/3/25 11:00,Acid treatment,acid treatment,7/3/25,4.212341057,0.000694138,0.069413759,242.8177562,0.040013126,4.001312578
80,1,7/3/25 11:00,Acid treatment,acid treatment,7/3/25,1.465239132,0.000241452,0.024145186,120.5543378,0.019865746,1.986574605
80,2,7/3/25 11:00,Acid treatment,acid treatment,7/3/25,1.480994976,0.000244048,0.024404821,163.421589,0.026929697,2.692969698
80,3,7/3/25 12:00,Acid treatment,acid treatment,7/3/25,3.287050112,0.000541662,0.054166199,246.5674517,0.040631026,4.063102557
82,1,7/3/25 12:00,Acid treatment,acid treatment,7/3/25,1.486214298,0.000244908,0.024490828,123.5057912,0.020352106,2.035210619
82,2,7/3/25 13:00,Acid treatment,acid treatment,7/3/25,1.470759994,0.000242362,0.024236162,166.3733439,0.027416107,2.741610681
82,3,7/3/25 13:00,Acid treatment,acid treatment,7/3/25,2.883760976,0.000475205,0.047520532,252.7382628,0.041647893,4.164789289
83,1,7/3/25 13:00,Acid treatment,acid treatment,7/3/25,1.187365196,0.000195662,0.019566194,124.842581,0.020572391,2.05723913
83,2,7/3/25 14:00,Acid treatment,acid treatment,7/3/25,1.369032351,0.000225598,0.022559826,167.7932401,0.027650087,2.765008675
83,3,7/3/25 14:00,Acid treatment,acid treatment,7/3/25,2.262043363,0.000372755,0.037275456,255.311165,0.042071873,4.207187283
84,1,7/3/25 15:00,Acid treatment,acid treatment,7/3/25,0.872653204,0.000143802,0.01438016,125.8725902,0.020742123,2.074212307
84,2,7/3/25 15:00,Acid treatment,acid treatment,7/3/25,0.678794217,0.000111856,0.011185623,168.8171534,0.027818814,2.781881399
84,3,7/3/25 15:00,Acid treatment,acid treatment,7/3/25,1.110839353,0.000183052,0.01830515,256.9976064,0.042349776,4.234977586
85,1,7/3/25 16:00,Acid treatment,acid treatment,7/3/25,0.485466504,8.00E-05,0.00799984,126.55165,0.020854023,2.085402308
85,2,7/3/25 16:00,Acid treatment,acid treatment,7/3/25,0.298089412,4.91E-05,0.004912116,169.3055952,0.027899303,2.789930268
85,3,7/3/25 17:00,Acid treatment,acid treatment,7/3/25,0.659745138,0.000108717,0.010871719,257.8828986,0.04249566,4.249566021
86,1,7/3/25 17:00,Acid treatment,acid treatment,7/3/25,0.245939518,4.05E-05,0.004052755,126.917353,0.020914286,2.091428605
86,2,7/3/25 17:00,Acid treatment,acid treatment,7/3/25,0.135868696,2.24E-05,0.002238935,169.5225743,0.027935058,2.793505794
86,3,7/3/25 18:00,Acid treatment,acid treatment,7/3/25,0.426261604,7.02E-05,0.007024222,258.425902,0.04258514,4.258513992
88,1,7/3/25 18:00,Acid treatment,acid treatment,7/3/25,0.195257026,3.22E-05,0.003217575,127.3585496,0.020986989,2.098698935
88,2,7/3/25 19:00,Acid treatment,acid treatment,7/3/25,0.054265839,8.94E-06,0.000894229,169.7127088,0.02796639,2.796638957
88,3,7/3/25 19:00,Acid treatment,acid treatment,7/3/25,0.310576159,5.12E-05,0.005117881,259.1627397,0.042706561,4.270656095
89,1,7/3/25 19:00,Acid treatment,acid treatment,7/3/25,0.092442851,1.52E-05,0.001523335,127.5023995,0.021010694,2.10106939
89,2,7/3/25 20:00,Acid treatment,acid treatment,7/3/25,0.016684488,2.75E-06,0.000274938,169.7481839,0.027972235,2.79722354
89,3,7/3/25 20:00,Acid treatment,acid treatment,7/3/25,0.288470681,4.75E-05,0.004753612,259.4622632,0.042755918,4.275591841
90,1,7/3/25 21:00,Acid treatment,acid treatment,7/3/25,0.092828191,1.53E-05,0.001529685,127.595035,0.021025959,2.1025959
90,2,7/3/25 21:00,Acid treatment,acid treatment,7/3/25,0.013566686,2.24E-06,0.000223561,169.7633095,0.027974728,2.79747279
90,3,7/3/25 21:00,Acid treatment,acid treatment,7/3/25,0.252891072,4.17E-05,0.004167307,259.732944,0.042800523,4.280052301
91,1,7/3/25 22:00,Acid treatment,acid treatment,7/3/25,0.033591269,5.54E-06,0.000553539,127.6582448,0.021036375,2.103637512
91,2,7/3/25 22:00,Acid treatment,acid treatment,7/3/25,0.03506724,5.78E-06,0.000577861,169.7876265,0.027978735,2.797873501
91,3,7/3/25 23:00,Acid treatment,acid treatment,7/3/25,0.291321018,4.80E-05,0.004800582,260.0050501,0.042845362,4.284536245
92,1,7/3/25 23:00,Acid treatment,acid treatment,7/3/25,-0.199717857,-3.29E-05,-0.003291084,127.5751815,0.021022687,2.10226874
92,2,7/3/25 23:00,Acid treatment,acid treatment,7/3/25,0.02488311,4.10E-06,0.00041004,169.8176017,0.027983675,2.798367452
92,3,7/4/25,Acid treatment,acid treatment,7/4/25,0.676719717,0.000111514,0.011151438,260.4890704,0.042925123,4.292512255
94,1,7/4/25,Acid treatment,acid treatment,7/4/25,-0.360087534,-5.93E-05,-0.005933762,127.0153761,0.020930439,2.093043894
94,2,7/4/25 1:00,Acid treatment,acid treatment,7/4/25,0.139342732,2.30E-05,0.002296182,169.9818275,0.028010737,2.801073675
94,3,7/4/25 1:00,Acid treatment,acid treatment,7/4/25,3.532848299,0.000582166,0.058216625,264.6986385,0.043618803,4.361880318
95,1,7/4/25 1:00,Acid treatment,acid treatment,7/4/25,0.717989467,0.000118315,0.011831508,127.194327,0.020959928,2.095992767
95,2,7/4/25 2:00,Acid treatment,acid treatment,7/4/25,1.134773177,0.000186995,0.018699548,170.6188855,0.028115715,2.81157154
95,3,7/4/25 2:00,Acid treatment,acid treatment,7/4/25,3.652865718,0.000601944,0.060194352,268.2914955,0.044210858,4.421085807
96,1,7/4/25 3:00,Acid treatment,acid treatment,7/4/25,1.689565339,0.000278418,0.027841782,128.3981044,0.021158294,2.115829412
96,2,7/4/25 3:00,Acid treatment,acid treatment,7/4/25,1.748866228,0.00028819,0.028818982,172.0607052,0.028353308,2.835330804
96,3,7/4/25 3:00,Acid treatment,acid treatment,7/4/25,4.284094881,0.000705962,0.070596166,272.2599758,0.044864811,4.486481066
97,1,7/4/25 4:00,Acid treatment,acid treatment,7/4/25,1.858336531,0.000306229,0.030622906,130.1720554,0.021450618,2.145061756
97,2,7/4/25 4:00,Acid treatment,acid treatment,7/4/25,2.020727036,0.000332989,0.033298885,173.9455018,0.028663897,2.866389737
97,3,7/4/25 5:00,Acid treatment,acid treatment,7/4/25,3.652845423,0.00060194,0.060194018,276.2284459,0.045518762,4.551876158
98,1,7/4/25 5:00,Acid treatment,acid treatment,7/4/25,2.314579199,0.000381412,0.038141176,132.2585132,0.021794438,2.179443798
98,2,7/4/25 5:00,Acid treatment,acid treatment,7/4/25,4.865933041,0.000801841,0.080184083,177.3888318,0.029231312,2.923131221
98,3,7/4/25 6:00,Acid treatment,acid treatment,7/4/25,2.982068402,0.000491405,0.049140508,279.5459028,0.046065434,4.606543421
100,1,7/4/25 6:00,Acid treatment,acid treatment,7/4/25,1.636279154,0.000269637,0.026963697,136.2093716,0.022445487,2.244548671
100,2,7/4/25 7:00,Acid treatment,acid treatment,7/4/25,2.75589439,0.000454135,0.045413462,185.0106593,0.030487288,3.048728766
100,3,7/4/25 7:00,Acid treatment,acid treatment,7/4/25,4.698747647,0.000774291,0.077429091,287.2267189,0.04733113,4.73311302
101,1,7/4/25 7:00,Acid treatment,acid treatment,7/4/25,3.178848242,0.000523832,0.052383177,138.6169353,0.022842221,2.284222108
101,2,7/4/25 8:00,Acid treatment,acid treatment,7/4/25,2.464049938,0.000406043,0.040604255,187.6206314,0.030917376,3.091737624
101,3,7/4/25 8:00,Acid treatment,acid treatment,7/4/25,6.073296841,0.001000798,0.100079827,292.6127411,0.048218675,4.821867478
102,1,7/4/25 9:00,Acid treatment,acid treatment,7/4/25,2.543121016,0.000419072,0.041907241,141.4779199,0.023313673,2.331367316
102,2,7/4/25 9:00,Acid treatment,acid treatment,7/4/25,1.601789307,0.000263954,0.02639535,189.6535511,0.031252374,3.125237426
102,3,7/4/25 9:00,Acid treatment,acid treatment,7/4/25,2.451511771,0.000403976,0.040397642,296.8751454,0.048921062,4.892106213
103,1,7/4/25 10:00,Acid treatment,acid treatment,7/4/25,2.18065071,0.000359342,0.035934214,143.8398058,0.02370288,2.370288043
103,2,7/4/25 10:00,Acid treatment,acid treatment,7/4/25,1.15392534,0.000190151,0.01901515,191.0314084,0.031479427,3.147942676
103,3,7/4/25 11:00,Acid treatment,acid treatment,7/4/25,1.716005341,0.000282775,0.028277478,298.958904,0.049264438,4.926443773
104,1,7/4/25 11:00,Acid treatment,acid treatment,7/4/25,1.691515996,0.000278739,0.027873926,145.7758891,0.024021921,2.402192113
104,2,7/4/25 11:00,Acid treatment,acid treatment,7/4/25,0.67513636,0.000111253,0.011125346,191.9459392,0.031630129,3.163012924
104,3,7/4/25 12:00,Acid treatment,acid treatment,7/4/25,1.126275157,0.000185595,0.018559512,300.3800442,0.049498623,4.949862268
106,1,7/4/25 12:00,Acid treatment,acid treatment,7/4/25,1.094579458,0.000180372,0.018037209,148.5619846,0.024481032,2.448103248
106,2,7/4/25 13:00,Acid treatment,acid treatment,7/4/25,0.308504642,5.08E-05,0.005083745,192.9295802,0.03179222,3.179222015
106,3,7/4/25 13:00,Acid treatment,acid treatment,7/4/25,1.083977565,0.000178625,0.017862504,302.590297,0.049862843,4.986284283
107,1,7/4/25 13:00,Acid treatment,acid treatment,7/4/25,0.961609076,0.00015846,0.015846034,149.5900789,0.024650449,2.46504487
107,2,7/4/25 14:00,Acid treatment,acid treatment,7/4/25,0.419214862,6.91E-05,0.006908101,193.29344,0.031852179,3.185217939
107,3,7/4/25 14:00,Acid treatment,acid treatment,7/4/25,1.365494234,0.000225015,0.022501523,303.8150329,0.050064663,5.006466297
108,1,7/4/25 15:00,Acid treatment,acid treatment,7/4/25,0.873834659,0.000143996,0.014399629,150.5078007,0.024801677,2.480167701
108,2,7/4/25 15:00,Acid treatment,acid treatment,7/4/25,0.404908604,6.67E-05,0.006672353,193.7055017,0.031920082,3.192008166
108,3,7/4/25 15:00,Acid treatment,acid treatment,7/4/25,0.972754931,0.000160297,0.016029703,304.9841574,0.050257319,5.025731909
109,1,7/4/25 16:00,Acid treatment,acid treatment,7/4/25,0.617444021,0.000101747,0.010174653,151.2534401,0.024924548,2.492454843
109,2,7/4/25 16:00,Acid treatment,acid treatment,7/4/25,0.255770986,4.21E-05,0.004214765,194.0358415,0.031974517,3.197451725
109,3,7/4/25 17:00,Acid treatment,acid treatment,7/4/25,1.06472855,0.000175453,0.017545306,306.0028992,0.050425194,5.042519414
110,1,7/4/25 17:00,Acid treatment,acid treatment,7/4/25,0.544064198,8.97E-05,0.008965452,151.8341942,0.025020249,2.502024895
110,2,7/4/25 17:00,Acid treatment,acid treatment,7/4/25,0.286379504,4.72E-05,0.004719152,194.3069168,0.032019187,3.201918683
110,3,7/4/25 18:00,Acid treatment,acid treatment,7/4/25,1.206489786,0.000198813,0.019881342,307.1385084,0.050612327,5.061232737
112,1,7/4/25 18:00,Acid treatment,acid treatment,7/4/25,0.527578531,8.69E-05,0.00869379,152.9058369,0.025196841,2.519684137
112,2,7/4/25 19:00,Acid treatment,acid treatment,7/4/25,0.312158152,5.14E-05,0.00514395,194.9054544,0.032117818,3.211781785
112,3,7/4/25 19:00,Acid treatment,acid treatment,7/4/25,1.314310946,0.000216581,0.02165809,309.6593091,0.051027722,5.102772169
113,1,7/4/25 19:00,Acid treatment,acid treatment,7/4/25,0.495439367,8.16E-05,0.00816418,153.4173459,0.025281131,2.528113122
113,2,7/4/25 20:00,Acid treatment,acid treatment,7/4/25,0.42677228,7.03E-05,0.007032638,195.2749196,0.032178701,3.217870079
113,3,7/4/25 20:00,Acid treatment,acid treatment,7/4/25,1.54495399,0.000254588,0.02545878,311.0889416,0.051263306,5.126330605
114,1,7/4/25 21:00,Acid treatment,acid treatment,7/4/25,0.478029424,7.88E-05,0.007877287,153.9040803,0.025361339,2.536133856
114,2,7/4/25 21:00,Acid treatment,acid treatment,7/4/25,0.458680032,7.56E-05,0.007558435,195.7176458,0.032251656,3.225165615
114,3,7/4/25 21:00,Acid treatment,acid treatment,7/4/25,1.525442865,0.000251373,0.025137263,312.62414,0.051516286,5.151628626
115,1,7/4/25 22:00,Acid treatment,acid treatment,7/4/25,0.483888875,7.97E-05,0.007973843,154.3850394,0.025440594,2.544059421
115,2,7/4/25 22:00,Acid treatment,acid treatment,7/4/25,0.26133947,4.31E-05,0.004306526,196.0776555,0.032310981,3.231098095
115,3,7/4/25 23:00,Acid treatment,acid treatment,7/4/25,0.830123668,0.000136793,0.01367933,313.8019232,0.051710369,5.171036922
116,1,7/4/25 23:00,Acid treatment,acid treatment,7/4/25,0.440757595,7.26E-05,0.007263097,154.8473626,0.025516779,2.551677891
116,2,7/4/25 23:00,Acid treatment,acid treatment,7/4/25,0.256484557,4.23E-05,0.004226523,196.3365676,0.032353646,3.23536462
116,3,7/5/25,Acid treatment,acid treatment,7/5/25,0.961061891,0.00015837,0.015837017,314.697516,0.051857951,5.185795096
118,1,7/5/25,Acid treatment,acid treatment,7/5/25,0.385944811,6.36E-05,0.006359855,155.674065,0.025653008,2.565300843
118,2,7/5/25 1:00,Acid treatment,acid treatment,7/5/25,0.316349684,5.21E-05,0.005213021,196.9094018,0.032448042,3.244804164
118,3,7/5/25 1:00,Acid treatment,acid treatment,7/5/25,1.36855276,0.000225519,0.022551923,317.0271307,0.05224184,5.224184037
119,1,7/5/25 1:00,Acid treatment,acid treatment,7/5/25,0.298948658,4.93E-05,0.004926275,156.0165118,0.025709439,2.570943908
119,2,7/5/25 2:00,Acid treatment,acid treatment,7/5/25,0.313428003,5.16E-05,0.005164875,197.2242906,0.032499931,3.249993111
119,3,7/5/25 2:00,Acid treatment,acid treatment,7/5/25,2.026778179,0.000333986,0.0333986,318.7247961,0.052521593,5.252159298
120,1,7/5/25 3:00,Acid treatment,acid treatment,7/5/25,0.485951145,8.01E-05,0.008007826,156.4089617,0.02577411,2.577410959
120,2,7/5/25 3:00,Acid treatment,acid treatment,7/5/25,0.513107799,8.46E-05,0.008455332,197.6375585,0.032568032,3.256803215
120,3,7/5/25 3:00,Acid treatment,acid treatment,7/5/25,2.710008281,0.000446573,0.04465732,321.0931894,0.052911873,5.291187258
0,1,6/30/25 2:00,Control,control,6/30/25,-0.114623215,-1.89E-05,-0.001892589,0,0,0
0,2,6/30/25 3:00,Control,control,6/30/25,0.255303003,4.22E-05,0.004215409,0,0,0
0,3,6/30/25 3:00,Control,control,6/30/25,0.56847389,9.39E-05,0.009386297,0,0,0
1,1,6/30/25 4:00,Control,control,6/30/25,65.17958244,0.010762059,1.07620589,32.53247961,0.005371567,0.53715665
1,2,6/30/25 4:00,Control,control,6/30/25,80.20389189,0.013242782,1.324278211,40.22959745,0.006642468,0.66424681
1,3,6/30/25 4:00,Control,control,6/30/25,54.10478648,0.008933455,0.893345549,27.33663019,0.004513659,0.451365923
2,1,6/30/25 5:00,Control,control,6/30/25,80.83272702,0.013346612,1.334661157,105.5386343,0.017425902,1.742590174
2,2,6/30/25 5:00,Control,control,6/30/25,78.21895403,0.012915041,1.291504116,119.4410204,0.01972138,1.972137974
2,3,6/30/25 6:00,Control,control,6/30/25,70.08102354,0.011571355,1.157135524,89.4295352,0.014766065,1.47660646
4,1,6/30/25 6:00,Control,control,6/30/25,76.39319928,0.012613584,1.261358357,262.7645607,0.043386097,4.338609688
4,2,6/30/25 6:00,Control,control,6/30/25,76.05011514,0.012556936,1.255693559,273.7100896,0.045193356,4.519335649
4,3,6/30/25 7:00,Control,control,6/30/25,72.52262697,0.011974498,1.197449805,232.0331857,0.038311918,3.83119179
5,1,6/30/25 7:00,Control,control,6/30/25,70.5934427,0.011655963,1.16559628,336.2578816,0.05552087,5.552087006
5,2,6/30/25 8:00,Control,control,6/30/25,67.51334758,0.011147396,1.11473961,345.4918209,0.057045522,5.704552234
5,3,6/30/25 8:00,Control,control,6/30/25,63.82525498,0.010538441,1.053844053,300.2071267,0.049568387,4.956838719
6,1,6/30/25 8:00,Control,control,6/30/25,64.83978954,0.010705954,1.070595435,403.9744978,0.066701829,6.670182864
6,2,6/30/25 9:00,Control,control,6/30/25,63.3882357,0.010466283,1.046628255,410.9426126,0.067852362,6.785236166
6,3,6/30/25 9:00,Control,control,6/30/25,61.53162121,0.01015973,1.015972958,362.8855648,0.059917472,5.991747224
7,1,6/30/25 10:00,Control,control,6/30/25,60.47121389,0.009984642,0.998464153,466.6299995,0.077047127,7.704712657
7,2,6/30/25 10:00,Control,control,6/30/25,59.02527512,0.009745897,0.974589685,472.149368,0.077958451,7.795845136
7,3,6/30/25 10:00,Control,control,6/30/25,59.57328067,0.00983638,0.983638022,423.4380157,0.069915527,6.991552714
8,1,6/30/25 11:00,Control,control,6/30/25,58.79495783,0.009707868,0.970786825,526.2630853,0.086893381,8.689338146
8,2,6/30/25 11:00,Control,control,6/30/25,56.6188105,0.009348556,0.934855595,529.9714108,0.087505678,8.750567776
8,3,6/30/25 12:00,Control,control,6/30/25,53.18711057,0.008781934,0.878193439,479.8182113,0.079224684,7.922468445
10,1,6/30/25 12:00,Control,control,6/30/25,57.40294223,0.009478027,0.947802705,642.4609854,0.106079277,10.60792768
10,2,6/30/25 12:00,Control,control,6/30/25,55.08411433,0.009095156,0.909515619,641.6743356,0.10594939,10.59493899
10,3,6/30/25 13:00,Control,control,6/30/25,49.91443889,0.008241571,0.824157061,582.9197608,0.096248189,9.624818945
11,1,6/30/25 13:00,Control,control,6/30/25,54.81479601,0.009050688,0.905068798,698.5698545,0.115343634,11.53436343
11,2,6/30/25 14:00,Control,control,6/30/25,54.73102597,0.009036856,0.903685638,696.5819058,0.115015396,11.50153962
11,3,6/30/25 14:00,Control,control,6/30/25,47.78584872,0.007890111,0.789011066,631.7699046,0.10431403,10.43140301
12,1,6/30/25 14:00,Control,control,6/30/25,50.36292066,0.008315621,0.831562121,751.1587128,0.124026789,12.40267889
12,2,6/30/25 15:00,Control,control,6/30/25,49.51732523,0.008176002,0.81760016,748.7060814,0.123621825,12.36218252
12,3,6/30/25 15:00,Control,control,6/30/25,37.96306243,0.006268232,0.626823153,674.6443602,0.111393201,11.13932012
13,1,6/30/25 16:00,Control,control,6/30/25,36.01846995,0.005947152,0.594715217,794.3494082,0.131158176,13.11581756
13,2,6/30/25 16:00,Control,control,6/30/25,33.29886241,0.005498107,0.5498107,790.1141752,0.130458879,13.04588795
13,3,6/30/25 16:00,Control,control,6/30/25,24.82630123,0.004099169,0.409916888,706.039042,0.116576901,11.65769014
14,1,6/30/25 17:00,Control,control,6/30/25,24.35935721,0.00402207,0.402206991,824.5383217,0.136142787,13.61427866
14,2,6/30/25 17:00,Control,control,6/30/25,26.93109416,0.0044467,0.444669958,820.2291535,0.135431283,13.54312828
14,3,6/30/25 18:00,Control,control,6/30/25,22.93508008,0.003786902,0.378690187,729.9197327,0.120519937,12.05199368
16,1,6/30/25 18:00,Control,control,6/30/25,20.94822549,0.003458844,0.345884444,869.8459044,0.143623701,14.36237009
16,2,6/30/25 18:00,Control,control,6/30/25,23.02631449,0.003801966,0.380196595,870.1865621,0.143679948,14.36799483
16,3,6/30/25 19:00,Control,control,6/30/25,20.28059279,0.003348609,0.334860897,773.1354055,0.127655448,12.76554476
17,1,6/30/25 19:00,Control,control,6/30/25,19.56328858,0.003230172,0.323017203,890.1016615,0.146968209,14.69682092
17,2,6/30/25 20:00,Control,control,6/30/25,24.88483361,0.004108833,0.410883339,894.1421362,0.147635348,14.7635348
17,3,6/30/25 20:00,Control,control,6/30/25,20.59834403,0.003401074,0.340107413,793.574874,0.131030289,13.10302892
18,1,6/30/25 20:00,Control,control,6/30/25,16.45909296,0.002717626,0.2717626,908.1128522,0.149942108,14.99421082
18,2,6/30/25 21:00,Control,control,6/30/25,21.18057734,0.003497209,0.349720898,917.1748417,0.151438369,15.14383691
18,3,6/30/25 21:00,Control,control,6/30/25,18.88760276,0.003118607,0.311860687,813.3178473,0.13429013,13.42901296
19,1,6/30/25 22:00,Control,control,6/30/25,19.67730219,0.003248997,0.324899727,926.1810498,0.15292542,15.29254198
19,2,6/30/25 22:00,Control,control,6/30/25,20.92464555,0.003454951,0.345495107,938.2274531,0.154914449,15.49144492
19,3,6/30/25 22:00,Control,control,6/30/25,21.40177579,0.003533732,0.353373193,833.4625366,0.137616299,13.7616299
20,1,6/30/25 23:00,Control,control,6/30/25,21.02582361,0.003471657,0.347165698,946.5326127,0.156285747,15.62857469
20,2,6/30/25 23:00,Control,control,6/30/25,24.94691549,0.004119084,0.411908398,961.1632336,0.158701467,15.87014667
20,3,7/1/25,Control,control,7/1/25,26.65375796,0.004400907,0.44009075,857.4903035,0.141583619,14.15836188
22,1,7/1/25,Control,control,7/1/25,33.66337618,0.005558293,0.555829331,1001.221813,0.165315697,16.53156972
22,2,7/1/25,Control,control,7/1/25,32.26177991,0.00532687,0.53268702,1018.371929,0.168147421,16.81474209
22,3,7/1/25 1:00,Control,control,7/1/25,28.43210861,0.004694538,0.469453801,912.5761701,0.150679064,15.06790643
23,1,7/1/25 1:00,Control,control,7/1/25,38.04822875,0.006282294,0.628229368,1037.077615,0.171235991,17.12359907
23,2,7/1/25 2:00,Control,control,7/1/25,32.36394741,0.005343739,0.534373948,1050.684793,0.173482726,17.34827257
23,3,7/1/25 2:00,Control,control,7/1/25,30.65649992,0.005061816,0.506181607,942.1204743,0.155557241,15.55572413
24,1,7/1/25 2:00,Control,control,7/1/25,35.71750325,0.005897458,0.589745836,1073.960481,0.177325867,17.73258668
24,2,7/1/25 3:00,Control,control,7/1/25,30.63101681,0.005057608,0.505760845,1082.182275,0.1786834,17.86833997
24,3,7/1/25 3:00,Control,control,7/1/25,30.27711913,0.004999175,0.4999175,972.5872839,0.160587737,16.05877368
25,1,7/1/25 4:00,Control,control,7/1/25,34.46138924,0.005690056,0.569005641,1109.049927,0.183119624,18.31196241
25,2,7/1/25 4:00,Control,control,7/1/25,27.83478415,0.004595911,0.459591141,1111.415175,0.18351016,18.35101596
25,3,7/1/25 4:00,Control,control,7/1/25,28.30339121,0.004673285,0.467328497,1001.877539,0.165423967,16.54239668
26,1,7/1/25 5:00,Control,control,7/1/25,30.3529337,0.005011693,0.501169305,1141.457089,0.188470499,18.84704989
26,2,7/1/25 5:00,Control,control,7/1/25,26.98945209,0.004456335,0.445633528,1138.827293,0.188036283,18.8036283
26,3,7/1/25 6:00,Control,control,7/1/25,24.92982712,0.004116262,0.411626245,1028.494148,0.169818741,16.98187406
28,1,7/1/25 6:00,Control,control,7/1/25,26.59876561,0.004391827,0.439182749,1198.408788,0.197874019,19.78740194
28,2,7/1/25 6:00,Control,control,7/1/25,23.43165192,0.003868893,0.386889281,1189.248397,0.196361511,19.63615111
28,3,7/1/25 7:00,Control,control,7/1/25,28.87370467,0.004767452,0.476745169,1082.29768,0.178702455,17.87024547
29,1,7/1/25 7:00,Control,control,7/1/25,22.89290012,0.003779937,0.377993737,1223.154621,0.201959902,20.19599018
29,2,7/1/25 8:00,Control,control,7/1/25,21.38152066,0.003530388,0.353038752,1211.654984,0.200061151,20.00611512
29,3,7/1/25 8:00,Control,control,7/1/25,24.52301185,0.004049092,0.404909157,1108.996038,0.183110726,18.31107263
30,1,7/1/25 8:00,Control,control,7/1/25,20.52335323,0.003388692,0.33886921,1244.862748,0.205544217,20.55442166
30,2,7/1/25 9:00,Control,control,7/1/25,20.54704972,0.003392605,0.339260472,1232.619269,0.203522647,20.35226473
30,3,7/1/25 9:00,Control,control,7/1/25,22.11812166,0.003652011,0.365201063,1132.316605,0.186961277,18.69612774
31,1,7/1/25 10:00,Control,control,7/1/25,17.80622109,0.002940056,0.294005566,1264.027535,0.20870859,20.87085905
31,2,7/1/25 10:00,Control,control,7/1/25,17.65269396,0.002914706,0.291470619,1251.719141,0.206676303,20.66763028
31,3,7/1/25 10:00,Control,control,7/1/25,19.08131075,0.003150591,0.315059076,1152.916321,0.190362578,19.03625781
32,1,7/1/25 11:00,Control,control,7/1/25,17.11920779,0.00282662,0.282662017,1281.490249,0.211591928,21.15919284
32,2,7/1/25 11:00,Control,control,7/1/25,16.79350386,0.002772842,0.277284191,1268.94224,0.209520077,20.95200768
32,3,7/1/25 12:00,Control,control,7/1/25,16.63150494,0.002746094,0.274609362,1170.772729,0.19331092,19.33109203
34,1,7/1/25 12:00,Control,control,7/1/25,12.39553607,0.002046676,0.204667603,1311.004993,0.216465225,21.64652246
34,2,7/1/25 12:00,Control,control,7/1/25,14.56645924,0.002405126,0.240512575,1300.302203,0.214698045,21.46980445
34,3,7/1/25 13:00,Control,control,7/1/25,13.58043132,0.002242319,0.224231878,1200.984665,0.198299333,19.82993327
35,1,7/1/25 13:00,Control,control,7/1/25,13.04665021,0.002154184,0.215418407,1323.726086,0.218565655,21.85656546
35,2,7/1/25 14:00,Control,control,7/1/25,12.9428633,0.002137047,0.21370474,1314.056864,0.216969131,21.69691311
35,3,7/1/25 14:00,Control,control,7/1/25,10.94098562,0.001806509,0.180650945,1213.245374,0.200323747,20.03237468
36,1,7/1/25 14:00,Control,control,7/1/25,10.23528722,0.001689989,0.168998879,1335.367055,0.220487741,22.04877411
36,2,7/1/25 15:00,Control,control,7/1/25,8.319062755,0.001373593,0.137359339,1324.687827,0.218724451,21.87244515
36,3,7/1/25 15:00,Control,control,7/1/25,8.162984149,0.001347823,0.134782263,1222.797359,0.201900913,20.19009129
37,1,7/1/25 16:00,Control,control,7/1/25,7.292819923,0.001204146,0.120414637,1344.131108,0.221934809,22.19348086
37,2,7/1/25 16:00,Control,control,7/1/25,6.821468273,0.00112632,0.112631963,1332.258093,0.219974408,21.9974408
37,3,7/1/25 16:00,Control,control,7/1/25,7.146138052,0.001179927,0.117992714,1230.45192,0.203164788,20.31647878
38,1,7/1/25 17:00,Control,control,7/1/25,6.185495911,0.001021312,0.102131172,1350.870266,0.223047538,22.30475377
38,2,7/1/25 17:00,Control,control,7/1/25,7.131454027,0.001177503,0.117750261,1339.234554,0.221126319,22.11263191
38,3,7/1/25 18:00,Control,control,7/1/25,7.702890962,0.001271855,0.127185482,1237.876434,0.204390679,20.43906787
40,1,7/1/25 18:00,Control,control,7/1/25,6.082211624,0.001004258,0.100425804,1363.137974,0.225073107,22.50731074
40,2,7/1/25 18:00,Control,control,7/1/25,6.37286347,0.001052249,0.105224872,1352.738871,0.22335607,22.33560704
40,3,7/1/25 19:00,Control,control,7/1/25,6.618519615,0.00109281,0.109280998,1252.197845,0.206755344,20.67553435
41,1,7/1/25 19:00,Control,control,7/1/25,5.749427705,0.000949311,0.094931077,1369.053794,0.226049892,22.60498918
41,2,7/1/25 20:00,Control,control,7/1/25,5.876995904,0.000970374,0.097037406,1358.863801,0.224367382,22.43673818
41,3,7/1/25 20:00,Control,control,7/1/25,6.00956976,0.000992264,0.099226385,1258.51189,0.20779788,20.77978804
42,1,7/1/25 20:00,Control,control,7/1/25,5.137763883,0.000848317,0.084831653,1374.497389,0.226948705,22.69487055
42,2,7/1/25 21:00,Control,control,7/1/25,5.048122672,0.000833516,0.083351552,1364.32636,0.225269327,22.52693266
42,3,7/1/25 21:00,Control,control,7/1/25,5.197219345,0.000858133,0.085813346,1264.115284,0.208723079,20.87230791
43,1,7/1/25 22:00,Control,control,7/1/25,4.001635404,0.000660726,0.066072586,1379.067089,0.227703227,22.77032267
43,2,7/1/25 22:00,Control,control,7/1/25,4.610808486,0.000761309,0.076130884,1369.155826,0.226066739,22.60667388
43,3,7/1/25 22:00,Control,control,7/1/25,4.715093254,0.000778528,0.077852771,1269.07144,0.20954141,20.95414097
